Con1	S1_1	S2_4	Con2	S2_2	S2_3	S5_1	E4_1	E4_3	S4_4	E5_2	N3_3	E4_2	E3_1	N3_2	S4_1	E3_4	E7_4	E5_3	E7_3	N6_4	N6_3	N3_1	S6_3	S5_3	E5_1	Con4	E3_2	E7_2	S6_4	S7_4	S4_3	S7_1	S1_2	S6_1	S1_4	S7_3	S5_4	N6_2
name24	0	9.77580813347237e-05	0.00107533889468196	0	3.25860271115746e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25860271115746e-05	0	0	0.000195516162669447	0	0	0	0	0	0	0	0	0	0	3.25860271115746e-05	0	0	0.000456204379562044	0	0	0
name25	0	0	0.000130344108446298	0	0	0	0	6.51720542231491e-05	0	0	0	0.000228102189781022	0	0	0.000391032325338895	0.000162930135557873	0	0	0	0	6.51720542231491e-05	0	0.00035844629822732	0	3.25860271115746e-05	0	0	0	0	0	0	0	3.25860271115746e-05	0	0	0	0	0	0
name26	0	3.25860271115746e-05	0.000456204379562044	0.000195516162669447	3.25860271115746e-05	0	0	3.25860271115746e-05	9.77580813347237e-05	9.77580813347237e-05	0.000391032325338895	0.00035844629822732	0	0	9.77580813347237e-05	9.77580813347237e-05	9.77580813347237e-05	0	6.51720542231491e-05	3.25860271115746e-05	3.25860271115746e-05	0	0.000456204379562044	9.77580813347237e-05	3.25860271115746e-05	0	0.000293274244004171	0	0	3.25860271115746e-05	0	9.77580813347237e-05	0	0	0	9.77580813347237e-05	0	0	0
name29	0.000456204379562044	0.00140119916579771	0.000130344108446298	0.00071689259645464	0.000521376433785193	0.000423618352450469	0.00211809176225235	0.0021832638164755	0.00071689259645464	0.00198774765380605	0.00492049009384776	0.000130344108446298	0.000228102189781022	0.00117309697601668	0.000325860271115746	0.00104275286757039	0.00286757038581856	0.000488790406673618	0.00247653806047967	0.000423618352450469	0.000293274244004171	3.25860271115746e-05	0.000162930135557873	0.00208550573514077	0.00488790406673618	0.00309567257559958	0.000293274244004171	0.00182481751824818	0.000521376433785193	0.000684306569343066	0.00146637122002086	0.000260688216892596	0.00211809176225235	0.00101016684045881	0.00143378519290928	0.000195516162669447	0.00120568300312826	0.00231360792492179	3.25860271115746e-05
name30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.51720542231491e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
name31	0.00853753910323253	0.0204966110531804	0.0290667361835245	0.0071689259645464	0.0145333680917623	0.0217348800834202	0.0145659541188738	0.00892857142857143	0.00746220020855057	0.00423618352450469	0.00374739311783107	0.109749739311783	6.51720542231491e-05	0.024895724713243	0.00889598540145985	0.00928701772679875	0.00312825860271116	0.00954770594369135	0.00853753910323253	0.0071689259645464	0.022060740354536	0.00172705943691345	0.037604275286757	0.00404066736183525	0.011568039624609	0.00951511991657977	0.0116657977059437	0.024276590198123	0.0168143899895725	0.00319343065693431	0.000586548488008342	0.00224843587069864	0.00439911366006257	0.026883472367049	0.00456204379562044	0.0249934827945777	0.000879822732012513	0.0289363920750782	0.000782064650677789
name32	3.25860271115746e-05	3.25860271115746e-05	0	0	3.25860271115746e-05	0.000130344108446298	0.000260688216892596	0	0	3.25860271115746e-05	0	3.25860271115746e-05	0	0	0	0.000130344108446298	0	0	0	0	0	0	0	0	0	0	0	9.77580813347237e-05	0	0	0	0	0	3.25860271115746e-05	0	0	0	6.51720542231491e-05	0
name34	0.000325860271115746	0.000814650677789364	0.00162930135557873	0.000944994786235662	0.000586548488008342	0.000456204379562044	0.00404066736183525	0.000651720542231491	0.000162930135557873	0.000195516162669447	0.000293274244004171	0.00202033368091762	0	0	0.00263946819603754	0.000293274244004171	0.000195516162669447	0.000130344108446298	0.00071689259645464	3.25860271115746e-05	0.000651720542231491	6.51720542231491e-05	0.00316084462982273	0.000456204379562044	0.000912408759124088	0.000619134515119917	0.000619134515119917	0.000553962460896767	9.77580813347237e-05	0.000293274244004171	0.00273722627737226	0	0.00185740354535975	0.000195516162669447	3.25860271115746e-05	0.00120568300312826	0.00215067778936392	0.000553962460896767	0
name35	0.001531543274244	0.00169447340980188	0.00495307612095933	0.0146637122002086	0.000879822732012513	0.000325860271115746	0.00244395203336809	0.0191931699687174	0.00130344108446298	0.00645203336809176	0.0174009384775808	0.0165211157455683	0.00710375391032325	9.77580813347237e-05	0.00971063607924922	0.00944994786235662	0.00263946819603754	0.000879822732012513	0.0034541188738269	0.000619134515119917	0.00306308654848801	9.77580813347237e-05	0.00866788321167883	0.00423618352450469	0.0052463503649635	0.0057677267987487	0.00231360792492179	0.00286757038581856	0.000423618352450469	0.0016618873826903	0.00247653806047967	0.00237877997914494	0.00162930135557873	0.000521376433785193	0.00169447340980188	0.00492049009384776	0.00101016684045881	0.000619134515119917	3.25860271115746e-05
name37	0.00276981230448384	0.0017922314911366	0.0160323253388947	0.00798357664233577	0.00234619395203337	0.00169447340980188	0.0034541188738269	0.0072992700729927	0.00169447340980188	0.00632168925964546	0.00847236704900938	0.0277307090719499	0.00518117831074035	0.000293274244004171	0.0469238790406674	0.0114376955161627	0.00276981230448384	0.00303050052137643	0.00746220020855057	0.00101016684045881	0.0107533889468196	0.000521376433785193	0.0338894681960375	0.00951511991657977	0.0105578727841502	0.0017922314911366	0.00374739311783107	0.0017922314911366	0.000325860271115746	0.00404066736183525	0.00146637122002086	0.00159671532846715	0.00228102189781022	0.00149895724713243	0.00267205422314911	0.013783889468196	0.00120568300312826	0.0038451511991658	0.000912408759124088
